model	label	width	depth	weighted_relative_l1	mae	rmse	mean_relative_error	total_counters	estimated_bytes	load_time_s	stream_time_s	eval_time_s	total_time_s	throughput_events_per_s
hokusai	hokusai_w8192_d4	8192	4	0.012380	0.360000	0.721110	0.005562	660635648.000000	2642542592.000000	13.906182	8.938306	2.725614	29.074957	1004630.934167
hokusai	hokusai_w16384_d4	16384	4	0.006878	0.200000	0.447214	0.003952	1321271296.000000	5285085184.000000	13.617280	12.580102	2.769129	32.880988	713801.740425
hokusai	hokusai_w32768_d4	32768	4	0.002751	0.080000	0.282843	0.002092	2642542592.000000	10570170368.000000	13.768852	19.630541	4.877467	42.056243	457435.129127
ring_buffer	ring_w8192_d4	8192	4	0.012380	0.360000	0.721110	0.006862	16777216.000000	67108864.000000	14.140333	13.830152	5.024457	36.419731	649284.202821
ring_buffer	ring_w16384_d4	16384	4	0.008253	0.240000	0.489898	0.005770	33554432.000000	134217728.000000	13.535338	21.092872	4.936023	43.001980	425721.978257
ring_buffer	ring_w32768_d4	32768	4	0.005502	0.160000	0.400000	0.004288	67108864.000000	268435456.000000	13.717430	36.164788	5.002479	58.371281	248299.506997
burst_sketch	burst_w8192_d4	8192	4	0.012070	0.000948	0.004111	0.001101	66093056.000000	528744448.000000	16.534584	1.466181	0.000000	18.000818	6124550.979615
burst_sketch	burst_w16384_d4	16384	4	0.000000	0.000000	0.000000	0.000000	132186112.000000	1057488896.000000	16.499889	1.450374	0.000000	17.950318	6191300.180496
burst_sketch	burst_w32768_d4	32768	4	0.000000	0.000000	0.000000	0.000000	264372224.000000	2114977792.000000	16.700623	1.485498	0.000000	18.186180	6044906.813110
ada_sketch	ada_w8192_d4	8192	4	0.053397	259.530018	307.534546	0.054534	32768.000000	262144.000000	16.560832	40.112841	40.112841	56.673733	223860.957876
ada_sketch	ada_w16384_d4	16384	4	0.027255	132.467909	156.901674	0.027842	65536.000000	524288.000000	16.597175	39.509559	39.509559	56.106784	227279.148429
ada_sketch	ada_w32768_d4	32768	4	0.013904	67.577782	79.996703	0.014219	131072.000000	1048576.000000	16.469292	39.262995	39.262995	55.732336	228706.421311
